Pick,Name,Year
58,Maceo Baston,1998
1,Tim Duncan,1997
2,Keith Van Horn,1997
3,Chauncey Billups,1997
4,Antonio Daniels,1997
5,Tony Battie,1997
6,Ron Mercer,1997
7,Tim Thomas,1997
8,Adonal Foyle,1997
9,Tracy McGrady,1997
10,Danny Fortson,1997
11,Tariq Abdul-Wahad,1997
12,Austin Croshere,1997
13,Derek Anderson,1997
14,Maurice Taylor,1997
15,Kelvin Cato,1997
16,Brevin Knight,1997
17,Johnny Taylor,1997
18,Chris Anstey,1997
19,Scot Pollard,1997
20,Paul Grant,1997
21,Anthony Parker,1997
22,Ed Gray,1997
23,Bobby Jackson,1997
24,Rodrick Rhodes,1997
25,John Thomas,1997
