Name,Games Played,Minutes Per Game,FGs per game,Three point attempts,Threes per game,Free Throws per game,Rebounds per game,Assists per game,Steals per game,Blocks per game,Turnovers per game,Points per game
Steve Blake,138,31.3,.401,3.5,.381,.771,3.4,7.0,1.7,0.3,3.3,8.3
Derrick Zimmerman,127,26.0,.477,1.1,.268,.600,3.3,4.0,1.6,0.7,2.9,6.9
Willie Green,124,30.0,.461,2.8,.352,.757,4.2,2.2,0.9,0.3,2.0,14.3
Keith Bogans,135,29.0,.437,5.5,.342,.688,4.1,2.3,1.1,0.1,2.3,14.2
Matt Bonner,131,25.0,.503,3.2,.395,.740,5.9,1.2,0.7,0.5,1.6,12.0
Mo Williams,64,33.7,.405,4.8,.294,.847,3.9,4.2,1.5,0.1,3.0,13.1
James Jones,122,27.5,.426,2.7,.383,.831,5.0,1.2,1.1,1.6,1.5,11.1
Kyle Korver,128,27.7,.472,6.4,.453,.891,5.2,2.3,1.3,0.5,1.8,14.1
Tommy Smith,122,27.6,.500,0.5,.310,.593,4.8,1.7,1.0,1.4,2.9,9.2
Rick Rickert,63,29.4,.469,3.6,.361,.693,5.7,1.3,0.7,1.0,2.0,14.9
Brandon Hunter,119,32.6,.510,1.0,.339,.608,9.3,2.1,0.8,0.7,3.4,16.9
Jay Williams,108,33.1,.453,7.4,.393,.671,3.7,6.0,2.2,0.1,3.9,19.3
Mike Dunleavy,111,33.9,.484,nan,nan,.798,3.1,3.3,1.5,0.1,nan,14.3
Drew Gooden,98,26.2,.493,0.6,.306,.698,9.2,1.6,1.1,1.1,2.6,15.6
Dajuan Wagner,36,31.8,.410,5.8,.317,.722,2.5,3.6,1.2,0.6,2.9,21.2
Chris Wilcox,70,16.6,.520,0.0,.000,.589,4.7,1.0,0.5,1.0,1.0,7.9
Caron Butler,63,34.5,.465,1.9,.364,.768,7.6,3.0,2.1,0.3,2.7,18.0
Jared Jeffries,70,32.6,.450,1.7,.325,.643,7.2,2.2,1.2,1.3,2.9,14.4
Melvin Ely,124,32.5,.577,0.0,.333,.648,7.5,1.1,0.8,2.9,2.4,15.7
Marcus Haislip,89,17.1,.530,1.1,.373,.705,3.4,0.5,0.3,1.3,1.1,8.4
Fred Jones,125,28.2,.481,3.5,.338,.805,5.0,2.9,1.2,0.6,2.4,13.2
Juan Dixon,141,28.4,.468,4.4,.389,.850,4.2,2.6,2.4,0.2,2.5,16.1
Curtis Borchardt,66,21.6,.534,0.6,.375,.691,7.2,1.2,0.4,2.2,1.4,10.2
Ryan Humphrey,60,32.8,.496,0.4,.381,.567,10.0,2.0,0.9,2.8,2.6,16.6
Kareem Rush,84,30.2,.445,6.4,.422,.777,5.4,2.1,1.2,0.6,2.8,18.9
Casey Jacobsen,95,31.8,.470,5.5,.427,.771,3.8,2.7,0.5,0.1,2.0,18.1
Tayshaun Prince,135,29.8,.457,4.6,.329,.743,5.6,1.9,0.8,1.1,1.7,13.1
Frank Williams,101,31.7,.396,4.1,.326,.807,4.0,4.3,2.1,0.3,2.7,14.3
John Salmons,124,30.8,.466,2.2,.321,.805,5.5,3.5,1.5,0.7,2.6,10.4
Chris Jefferies,54,32.2,.432,5.2,.346,.664,5.4,2.3,1.4,1.0,2.6,16.2
Dan Dickau,56,34.3,.458,7.2,.465,.865,3.1,5.3,0.8,0.1,3.2,20.1
Steve Logan,135,34.1,.435,5.1,.378,.861,2.2,3.4,0.7,0.0,2.0,14.7
Roger Mason,89,29.6,.436,4.1,.375,.869,3.0,2.6,1.0,0.4,2.2,13.8
Robert Archibald,130,16.2,.570,0.0,.000,.681,4.1,0.8,0.5,0.6,1.6,6.2
Vincent Yarbrough,127,30.4,.440,4.1,.340,.687,6.8,2.3,1.7,1.0,2.2,13.7
Dan Gadzuric,122,24.1,.548,0.0,.000,.449,6.6,0.6,0.7,1.5,1.8,10.5
Carlos Boozer,101,25.9,.631,0.0,.000,.741,7.2,1.1,1.0,0.7,1.6,14.9
Tito Maddox,25,32.3,.391,2.8,.286,.703,5.8,8.0,1.6,0.2,5.2,13.5
Rod Grizzard,100,30.8,.402,5.5,.304,.785,5.8,1.7,1.1,1.0,2.4,14.9
Jason Jennings,59,28.1,.547,0.0,nan,.756,6.8,1.1,0.3,3.4,2.2,14.3
Lonny Baxter,138,24.4,.553,0.0,.600,.600,7.2,0.7,0.9,1.6,1.6,13.5
Sam Clancy,113,37.6,.495,0.0,.400,.617,7.4,1.2,1.2,1.7,2.1,14.7
Matt Barnes,121,22.6,.469,1.6,.314,.566,4.8,2.0,1.0,0.4,2.0,8.8
Jamal Sampson,32,24.9,.426,0.0,nan,.526,6.5,1.2,0.5,1.7,1.7,6.4
Chris Owens,78,26.8,.467,0.6,.217,.618,6.9,0.7,1.0,2.0,1.7,12.5
Darius Songaila,130,26.2,.511,0.3,.343,.831,6.3,1.8,1.1,0.7,2.8,14.3
Marcus Taylor,59,34.4,.399,4.0,.335,.795,2.1,4.4,0.7,0.1,2.6,12.1
Rasual Butler,110,38.3,.409,7.1,.359,.829,5.9,1.6,1.0,1.1,2.7,19.3
Tamar Slay,114,28.8,.443,5.7,.386,.749,4.4,2.2,1.2,0.5,2.4,15.7
Randy Holcomb,61,31.6,.471,1.7,.295,.657,7.9,1.6,0.8,0.8,3.4,16.4
Corsley Edwards,123,27.6,.509,0.0,.000,.688,7.9,0.8,0.9,1.6,2.0,14.1
Kwame Brown,48,nan,.560,0.0,.000,.182,2.8,0.2,0.3,0.7,nan,2.5
Jason Richardson,70,21.7,.503,2.1,.383,.649,5.0,1.4,0.8,0.5,1.1,9.6
Shane Battier,146,31.4,.500,4.1,.416,.777,6.1,1.6,1.8,1.7,1.2,13.6
Eddie Griffin,30,32.6,.429,4.3,.320,.734,10.8,1.6,0.9,4.4,2.2,17.8
Rodney White,28,30.9,.487,3.4,.347,.713,6.5,1.5,1.2,0.7,2.9,18.7
Joe Johnson,53,30.3,.466,2.9,.406,.753,6.1,2.4,1.7,0.5,2.5,15.0
Richard Jefferson,84,26.3,.490,1.9,.368,.718,5.0,2.8,0.6,0.8,2.7,11.2
Troy Murphy,94,35.1,.496,2.0,.335,.777,9.8,1.7,1.2,1.3,3.0,21.4
Steven Hunter,63,24.6,.586,0.0,.000,.600,4.7,0.4,0.2,2.0,1.6,9.9
Kirk Haston,96,26.8,.473,0.7,.366,.717,7.8,1.2,0.8,1.1,2.0,14.6
Michael Bradley,31,34.0,.692,1.1,.353,.590,9.8,2.6,0.9,1.8,2.8,20.8
Jason Collins,73,22.1,.612,0.4,.444,.716,6.6,0.8,0.5,1.2,1.5,10.8
Zach Randolph,33,19.8,.587,0.0,.000,.635,6.7,1.0,0.7,0.7,1.6,10.8
Brendan Haywood,141,29.2,.637,0.0,nan,.591,6.0,0.8,0.3,2.2,1.9,10.0
Joseph Forte,69,33.9,.454,4.4,.368,.810,5.8,3.0,1.8,0.4,2.4,18.7
Jeryl Sasser,117,35.0,.394,4.1,.280,.710,8.3,3.2,1.7,0.6,2.7,17.0
Brandon Armstrong,65,30.4,.439,5.6,.391,.824,3.2,1.5,1.7,0.2,1.9,18.1
Gerald Wallace,36,22.9,.438,1.8,.175,.568,6.0,1.5,1.2,1.0,2.4,9.8
Samuel Dalembert,59,21.4,.537,0.0,nan,.539,5.8,0.3,0.4,2.8,2.0,7.1
Jamaal Tinsley,68,32.5,.388,2.3,.327,.685,4.5,6.3,2.6,0.8,4.0,12.5
Tony Parker,136,18.3,.555,0.0,nan,.516,5.1,0.3,0.4,0.7,1.2,8.3
Trenton Hassell,84,36.2,.471,4.2,.345,.779,8.2,4.5,1.1,0.7,3.4,19.4
Gilbert Arenas,70,30.5,.466,4.2,.361,.738,3.8,2.2,1.9,0.2,2.7,15.8
Omar Cook,29,38.2,.360,7.6,.309,.742,3.0,8.7,2.3,0.2,5.1,15.3
Will Solomon,94,29.1,.392,6.2,.366,.717,2.8,2.6,1.2,0.4,3.4,15.2
Terence Morris,136,29.8,.495,2.2,.338,.780,6.8,1.7,1.2,1.9,2.2,12.7
Brian Scalabrine,92,33.0,.513,1.5,.343,.770,6.1,2.7,1.0,0.9,3.4,15.7
Damone Brown,113,29.2,.497,0.8,.225,.742,6.0,1.1,1.0,0.8,1.6,10.9
Michael Wright,99,nan,.575,0.1,.167,.749,8.4,0.4,0.5,0.3,1.8,15.1
Earl Watson,129,34.5,.450,3.0,.341,.654,3.8,4.7,1.8,0.4,3.5,11.2
Jamison Brewer,58,23.2,.456,1.0,.220,.527,4.7,4.1,1.1,0.1,2.2,5.7
Bobby Simmons,93,31.6,.428,3.9,.331,.783,7.5,2.2,1.3,0.2,2.5,13.6
Eric Chenowith,139,22.3,.454,0.1,.100,.723,6.7,0.9,0.5,1.7,2.0,9.2
Kyle Hill,98,nan,.463,5.5,.391,.762,4.3,3.2,1.7,0.5,2.9,18.6
Sean Lampley,123,32.1,.494,0.7,.210,.671,7.2,2.4,0.7,0.6,3.1,14.4
Loren Woods,55,30.9,.522,0.1,.200,.796,7.0,1.8,0.7,3.4,2.1,14.3
Ousmane Cisse,120,23.6,.535,0.0,nan,.556,6.6,1.0,0.6,0.5,1.6,6.3
Ken Johnson,47,31.2,.561,nan,nan,.513,8.9,0.4,0.4,2.0,1.9,9.9
Ruben Boumtje-Boumtje,101,25.1,.485,0.0,.000,.664,7.0,0.9,0.8,2.5,2.7,9.6
Alton Ford,26,25.5,.432,1.3,.265,.609,5.9,0.7,0.2,0.7,2.5,10.8
Andre Hutson,138,nan,.609,0.0,.000,.727,6.1,1.2,0.8,0.5,1.6,10.1
Jarron Collins,129,24.5,.520,0.1,.250,.669,5.5,1.1,0.6,0.4,1.3,8.4
Kenny Satterfield,68,31.5,.403,3.0,.323,.780,4.1,5.2,1.4,0.1,3.3,11.9
Maurice Jeffers,64,nan,.439,1.3,.361,.730,5.2,2.0,0.9,0.4,2.2,11.2
Robertas Javtokas,8,nan,.375,0.0,nan,.000,1.3,0.0,0.1,0.5,nan,0.8
Alvin Jones,124,31.5,.489,0.0,.000,.574,8.7,1.4,0.7,3.4,3.0,10.6
Bryan Bracey,58,nan,.518,1.6,.426,.760,5.3,0.7,0.8,0.3,2.6,13.2
Kenyon Martin,116,23.7,.586,0.1,.222,.581,7.5,1.2,1.1,2.5,1.6,11.0
Stromile Swift,50,26.6,.560,0.7,.242,.613,7.0,0.7,1.3,2.6,2.5,13.4
Marcus Fizer,97,32.9,.511,0.7,.292,.702,7.4,1.0,0.9,0.9,2.3,18.9
Mike Miller,65,26.7,.483,3.5,.345,.718,6.0,2.3,1.2,0.3,2.2,13.3
DerMarr Johnson,32,27.5,.478,4.4,.371,.737,3.8,1.4,1.0,0.9,1.4,12.6
Chris Mihm,96,31.4,.497,0.3,.300,.684,9.8,0.6,0.4,2.8,2.4,14.6
Jamal Crawford,17,33.9,.412,5.9,.327,.784,2.8,4.5,1.1,0.9,3.1,16.6
Joel Przybilla,49,27.6,.591,0.0,nan,.521,6.9,1.9,0.7,3.4,2.9,9.9
Keyon Dooling,59,28.1,.411,3.4,.338,.733,2.4,3.4,1.3,0.5,2.3,12.1
Etan Thomas,122,26.0,.600,0.0,nan,.598,6.9,0.4,0.7,3.5,1.7,11.0
Courtney Alexander,59,33.8,.458,5.6,.324,.769,4.2,3.0,1.5,0.2,2.4,22.9
Mateen Cleaves,123,29.6,.406,3.7,.313,.738,2.1,6.6,1.6,0.1,3.8,12.5
Jason Collier,55,33.2,.458,3.2,.362,.728,8.3,1.5,0.7,1.2,3.3,17.1
Desmond Mason,129,30.0,.486,2.7,.372,.731,6.2,1.1,1.2,0.7,1.7,13.2
Quentin Richardson,64,34.2,.454,5.0,.369,.728,10.2,1.6,0.9,0.3,2.2,17.9
Jamaal Magloire,145,21.2,.503,0.0,nan,.636,5.4,0.4,0.5,1.8,1.9,7.3
Speedy Claxton,119,33.8,.468,1.7,.322,.748,4.8,5.5,2.4,0.3,3.0,16.9
Morris Peterson,137,23.4,.484,2.8,.377,.746,4.7,0.9,0.9,0.3,1.5,11.6
Donnell Harvey,37,20.2,.507,0.0,.000,.610,7.0,1.0,0.7,0.8,1.6,10.1
Erick Barkley,65,34.8,.396,5.0,.328,.727,3.1,4.6,2.6,0.3,2.2,14.6
Mark Madsen,108,24.8,.587,0.0,.000,.596,7.9,0.6,0.4,0.6,1.3,10.9
Dan Langhi,121,27.4,.445,3.0,.383,.831,4.6,0.7,0.5,0.2,1.7,12.4
Jake Voskuhl,138,21.6,.542,0.0,nan,.656,6.4,0.9,0.6,1.4,1.6,6.3
Khalid El-Amin,108,30.3,.416,5.1,.355,.822,3.0,4.4,1.7,0.1,2.6,15.3
Mike Smith,55,35.2,.428,7.4,.318,.769,8.2,2.7,1.6,0.8,4.4,19.3
Eddie House,124,33.4,.425,5.5,.366,.798,4.0,3.3,2.1,0.2,2.1,16.5
Lavor Postell,129,29.3,.430,2.2,.326,.789,5.6,1.6,1.0,0.4,1.8,11.1
Chris Carrawell,136,nan,.486,1.3,.360,.667,4.5,2.3,0.8,0.8,nan,10.7
Michael Redd,96,33.1,.448,4.1,.319,.649,6.2,2.5,1.6,0.1,2.3,19.6
Brian Cardinal,132,28.0,.461,2.7,.365,.761,5.7,2.1,2.0,0.3,1.9,12.0
Jabari Smith,61,29.1,.532,1.4,.298,.639,8.2,2.1,0.9,1.1,3.0,12.6
Mark Karcher,67,nan,.373,6.9,.322,.613,5.2,2.2,1.6,0.1,nan,14.5
Jason Hart,132,33.9,.393,3.2,.326,.712,3.3,5.4,2.5,0.1,3.2,11.4
Kaniel Dickens,55,22.2,.483,0.7,.351,.630,5.7,0.6,0.9,0.7,2.0,9.3
Ernest Brown,43,4.7,.450,0.2,.333,.688,0.4,0.6,0.2,0.0,0.6,1.4
Dan McClintock,115,20.0,.632,0.0,.000,.652,4.2,0.7,0.3,1.7,1.8,11.9
Cory Hightower,36,24.4,.475,1.0,.361,.750,6.3,1.9,0.8,0.6,1.6,9.4
Chris Porter,56,28.9,.467,0.7,.308,.651,8.0,1.1,2.1,0.4,2.2,15.3
Jaquay Walls,65,nan,.419,3.7,.356,.746,3.2,4.2,1.5,0.2,nan,14.3
Scoonie Penn,66,nan,.420,6.6,.350,.748,4.1,4.3,2.1,0.1,nan,16.3
Pete Mickeal,65,nan,.545,1.2,.355,.711,6.8,1.8,1.5,0.4,nan,14.2
Elton Brand,60,29.3,.612,0.0,nan,.672,8.9,0.9,1.4,1.9,1.7,16.2
Steve Francis,34,30.7,.523,3.4,.388,.790,4.5,4.5,2.8,0.2,3.0,17.0
Baron Davis,59,30.7,.503,3.1,.328,.631,3.8,5.1,2.5,0.4,3.3,13.6
Lamar Odom,32,34.9,.482,3.1,.330,.687,9.4,3.8,0.8,1.5,3.4,17.6
Wally Szczerbiak,105,28.5,.512,4.5,.431,.809,6.3,2.2,0.8,0.8,2.2,17.6
Richard Hamilton,103,31.4,.426,6.1,.378,.826,4.5,2.6,1.3,0.3,2.7,19.8
Andre Miller,134,29.4,.513,1.5,.294,.676,4.8,5.4,1.9,0.5,2.8,12.1
Shawn Marion,29,32.9,.529,2.3,.299,.730,9.3,1.2,2.5,1.9,1.4,18.7
Jason Terry,129,25.1,.443,4.0,.374,.784,2.3,3.8,1.9,0.1,2.4,11.3
Trajan Langdon,136,28.9,.451,5.9,.426,.862,2.9,1.9,0.9,0.2,1.5,14.5
Corey Maggette,39,17.7,.525,2.2,.345,.716,3.9,1.5,0.7,0.4,2.1,10.6
William Avery,74,31.0,.470,4.0,.369,.784,2.8,3.8,1.2,0.0,2.6,11.9
Cal Bowdler,118,20.6,.451,1.2,.264,.625,6.6,0.7,0.4,1.9,1.5,8.6
James Posey,95,31.5,.527,2.3,.329,.808,8.4,1.7,2.3,0.7,2.7,15.3
Quincy Lewis,127,21.1,.460,2.9,.344,.723,4.0,1.5,1.4,0.7,1.6,12.7
Dion Glover,33,nan,.441,5.0,.271,.640,5.0,2.6,2.1,0.2,nan,18.4
Jeff Foster,111,21.3,.508,0.0,1.000,.639,8.4,1.2,0.9,1.0,1.6,9.8
Kenny Thomas,123,31.7,.537,1.5,.353,.740,8.4,2.1,0.9,1.9,2.9,15.7
Tim James,115,28.5,.476,0.6,.278,.644,7.4,0.7,1.1,1.9,2.6,14.9
Vonteego Cummings,103,32.3,.423,3.9,.334,.699,4.0,4.4,2.3,0.3,3.2,15.3
Jumaine Jones,65,34.4,.449,4.0,.351,.751,9.0,1.0,1.0,0.6,2.5,16.6
Scott Padgett,122,22.8,.449,3.4,.364,.759,5.3,2.0,1.2,0.6,1.5,10.3
Leon Smith,49,nan,.438,nan,nan,.678,2.6,nan,nan,nan,nan,13.1
John Celestand,124,24.2,.410,3.5,.330,.731,2.8,3.6,1.3,0.2,2.4,9.9
Rico Hill,94,nan,.516,1.3,.437,.743,6.9,1.3,0.9,0.3,nan,15.0
Michael Ruffin,128,28.0,.530,0.1,.000,.570,9.5,1.2,1.2,2.1,2.2,9.4
Chris Herren,86,29.1,.457,5.3,.367,.629,2.1,5.4,1.6,0.1,2.8,15.1
Evan Eschmeyer,112,30.8,.595,0.0,nan,.655,8.9,1.8,0.8,1.2,2.8,16.1
Calvin Booth,114,28.3,.507,0.1,.091,.707,6.4,0.9,0.6,3.8,2.1,11.3
Obinna Ekezie,118,22.5,.488,0.0,.000,.654,5.7,0.9,0.6,1.1,1.1,9.9
Laron Profit,125,25.6,.474,2.6,.322,.684,4.6,2.3,2.0,0.6,2.5,12.5
Francisco Elson,58,19.8,.477,0.0,nan,.510,5.0,0.5,0.8,1.2,1.1,5.5
Louis Bullock,132,nan,.427,6.1,.423,.863,3.3,2.3,1.0,0.2,nan,16.8
Lee Nailon,63,31.9,.532,0.3,.294,.728,9.1,2.2,1.5,1.0,3.2,23.9
Tyrone Washington,123,nan,.485,0.0,.000,.648,6.9,0.7,0.5,1.6,nan,9.1
Ryan Robertson,142,23.6,.445,2.5,.407,.802,2.4,3.4,1.0,0.2,1.4,7.4
Todd MacCulloch,115,22.8,.664,0.0,nan,.660,8.5,0.4,0.6,1.2,1.4,15.2
Galen Young,64,nan,.400,2.1,.316,.705,6.3,2.5,1.4,0.5,nan,11.8
Lari Ketner,94,28.1,.499,0.0,.000,.603,7.0,0.8,0.4,2.2,1.8,12.2
Venson Hamilton,129,nan,.527,0.0,.000,.610,8.4,1.3,1.4,1.9,nan,11.0
Roberto Bergersen,86,nan,.487,4.7,.400,.808,3.3,2.0,1.6,0.3,nan,17.3
Rodney Buford,118,30.1,.447,4.7,.380,.753,6.1,1.8,1.7,0.5,2.0,17.9
Melvin Levett,120,5.9,.412,3.9,.348,.762,2.9,1.0,0.6,0.3,0.5,9.3
Kris Clack,120,nan,.441,3.5,.305,.655,6.4,2.0,2.0,0.8,nan,13.3
Tim Young,132,25.5,.503,0.0,nan,.768,8.1,1.4,0.4,1.3,1.9,11.7
Eddie Lucas,55,nan,.433,5.3,.412,.817,3.5,1.1,0.5,0.1,nan,12.1
Michael Olowokandi,77,15.7,.592,0.0,nan,.466,7.5,0.5,0.2,2.1,1.4,13.5
Mike Bibby,69,32.3,.456,5.3,.390,.730,3.1,5.5,2.3,0.2,2.6,15.4
Raef LaFrentz,131,27.5,.555,0.3,.371,.712,9.1,0.7,0.7,1.1,2.0,15.8
Antawn Jamison,104,33.6,.577,0.3,.296,.617,9.9,0.9,0.9,0.8,1.8,19.0
Vince Carter,103,23.0,.547,2.6,.368,.705,4.5,1.9,1.1,0.8,1.3,12.3
Robert Traylor,91,24.4,.566,0.0,.000,.545,8.2,1.5,1.1,1.1,2.7,13.3
Jason Williams,20,29.1,.441,6.7,.403,.840,3.0,6.7,2.7,0.2,2.7,17.1
Larry Hughes,32,nan,.415,4.5,.290,.692,5.1,2.4,2.2,0.4,nan,20.9
Paul Pierce,108,28.1,.481,2.8,.355,.697,6.3,2.2,1.4,0.9,2.8,16.4
Bonzi Wells,116,31.0,.480,3.8,.325,.681,7.3,3.3,3.0,0.8,3.6,21.4
Michael Doleac,133,22.2,.491,0.4,.404,.784,6.7,0.6,0.5,0.9,1.5,11.4
Keon Clark,39,28.1,.554,0.7,.370,.638,8.2,1.3,0.6,3.5,2.6,14.8
Michael Dickerson,130,24.1,.458,3.2,.367,.728,3.7,1.5,0.8,0.2,1.9,13.8
Matt Harpring,124,36.0,.465,4.7,.361,.753,8.0,2.3,1.4,0.2,2.7,17.9
Bryce Drew,121,35.1,.449,6.9,.435,.834,3.1,5.2,1.5,0.1,2.6,17.7
Pat Garrity,111,32.1,.488,2.5,.358,.747,7.0,2.0,0.8,0.6,2.9,18.8
Roshown McLeod,69,24.2,.492,2.6,.397,.740,5.4,1.1,1.0,0.9,1.7,13.6
Ricky Davis,31,nan,.466,2.9,.308,.698,4.8,2.4,1.2,0.3,nan,15.0
Brian Skinner,103,31.7,.575,0.0,nan,.558,8.9,0.6,1.1,3.4,2.6,16.5
Tyronn Lue,99,32.6,.446,4.1,.356,.788,3.4,4.4,1.6,0.1,3.3,15.9
Sam Jacobson,130,23.4,.437,3.6,.365,.718,4.8,1.7,1.0,0.2,2.1,13.1
Corey Benjamin,48,26.1,.491,4.4,.305,.688,4.5,1.8,1.5,0.6,3.4,17.5
Nazr Mohammed,94,12.8,.553,0.0,.000,.581,5.7,0.5,0.8,1.4,1.4,8.7
Ansu Sesay,110,27.6,.428,2.1,.268,.724,6.4,2.1,0.9,0.9,2.4,13.0
Ruben Patterson,50,23.3,.515,2.1,.274,.603,5.9,1.7,1.1,0.4,2.2,14.8
Jelani McCoy,78,28.0,.694,0.0,nan,.462,7.1,1.1,0.6,2.4,2.3,10.4
Shammond Williams,134,20.2,.455,4.3,.403,.849,2.5,3.0,0.7,0.0,1.8,10.8
Jerome James,81,25.8,.495,0.0,.000,.527,9.2,0.7,0.5,4.5,3.3,16.0
Casey Shaw,113,31.7,.546,0.0,.000,.594,7.7,1.2,0.5,1.0,2.3,13.8
DeMarco Johnson,119,28.4,.492,0.9,.304,.748,7.8,1.2,1.1,0.5,1.8,16.8
Rafer Alston,33,nan,.401,5.9,.337,.758,2.2,7.3,2.1,0.4,nan,11.0
Cuttino Mobley,93,27.6,.438,4.4,.354,.821,4.2,2.0,1.5,0.4,1.9,14.3
Miles Simon,114,30.6,.463,4.1,.374,.767,3.8,3.6,1.1,0.1,2.9,14.6
Jahidi White,105,13.1,.539,0.0,nan,.462,4.6,0.2,0.5,1.4,1.5,5.6
Sean Marks,86,13.0,.487,0.3,.400,.669,4.4,0.5,0.6,0.8,1.1,6.5
Toby Bailey,129,31.6,.459,3.9,.341,.667,5.2,3.6,1.1,0.4,3.1,14.3
Andrae Patterson,121,24.4,.479,1.2,.313,.755,5.7,1.3,0.9,1.0,2.2,11.3
Tyson Wheeler,125,33.4,.412,6.5,.371,.705,2.8,5.7,1.6,0.0,3.5,15.3
Ryan Stack,120,18.2,.473,1.4,.362,.690,4.2,0.8,0.5,1.0,1.5,6.5
Cory Carr,115,23.9,.428,6.2,.366,.797,3.6,1.9,0.7,0.2,1.9,16.6
Andrew Betts,21,nan,.540,0.0,nan,.689,10.1,1.8,0.6,1.7,nan,18.7
Corey Brewer,108,27.2,.480,2.6,.356,.708,4.3,2.8,1.6,0.4,2.3,11.3
Derrick Dial,122,29.9,.480,4.7,.377,.774,5.7,2.0,1.0,0.5,1.2,15.5
Greg Buckner,122,32.6,.504,1.5,.276,.665,4.9,2.1,1.5,0.3,1.5,14.4
Tremaine Fowlkes,32,26.3,.491,1.2,.162,.636,11.2,1.0,1.6,0.3,2.2,13.9
Ryan Bowen,120,22.8,.575,0.4,.375,.685,6.7,1.0,1.7,1.0,1.4,9.1
Torraye Braggs,59,30.9,.550,0.0,.000,.727,7.8,2.5,1.4,0.4,3.3,13.4
Maceo Baston,126,22.4,.627,0.0,.000,.648,6.6,0.6,0.7,1.1,2.0,10.6
Tim Duncan,128,35.1,.577,0.4,.321,.689,12.3,2.3,0.5,3.8,2.6,16.5
Chauncey Billups,55,33.9,.413,5.7,.382,.857,5.6,5.1,1.9,0.1,3.7,18.5
Antonio Daniels,111,33.3,.515,1.9,.396,.758,2.9,5.2,1.5,0.3,2.8,16.1
Tony Battie,87,24.7,.545,0.4,.278,.649,8.3,0.8,0.6,1.9,1.6,10.7
Ron Mercer,76,26.0,.483,2.8,.344,.782,4.1,1.9,1.3,0.2,1.4,13.3
Tim Thomas,32,31.4,.450,4.4,.336,.796,6.0,2.1,1.8,1.0,2.8,16.9
Adonal Foyle,87,36.5,.547,0.1,.100,.491,12.7,1.5,0.7,5.7,3.8,20.4
Danny Fortson,100,26.9,.565,0.0,.000,.743,8.7,1.2,0.9,0.4,2.6,18.8
Tariq Abdul-Wahad,51,30.7,.473,2.7,.324,.734,7.6,1.8,1.3,0.8,3.0,20.6
Austin Croshere,121,23.6,.440,3.6,.340,.843,5.3,1.0,0.9,0.6,1.9,12.6
Derek Anderson,55,21.5,.500,2.8,.399,.797,3.6,2.8,1.8,0.2,1.5,12.3
Maurice Taylor,98,28.5,.497,0.2,.313,.642,6.1,1.2,0.6,0.9,2.0,12.9
Kelvin Cato,55,27.2,.443,0.0,.000,.589,8.1,0.6,0.9,3.4,1.7,10.5
Brevin Knight,115,32.2,.416,2.4,.336,.798,3.8,6.8,2.6,0.1,3.5,14.9
Johnny Taylor,62,30.1,.497,3.2,.337,.692,7.2,2.0,1.0,0.8,2.4,17.3
Scot Pollard,128,21.5,.549,0.0,1.000,.669,6.6,0.5,0.8,1.7,1.5,9.4
Paul Grant,28,27.3,.494,0.0,.000,.713,5.2,0.8,0.5,1.2,2.2,12.5
Anthony Parker,112,32.2,.447,4.6,.379,.750,5.7,3.2,1.4,0.7,2.5,15.0
Ed Gray,54,28.3,.448,4.5,.318,.790,3.3,1.9,1.6,0.2,2.7,20.0
Bobby Jackson,60,29.7,.427,3.2,.307,.786,5.5,3.5,1.8,0.3,2.3,14.4
Rodrick Rhodes,25,28.6,.447,3.2,.370,.597,4.9,4.2,1.6,0.3,3.8,14.0
John Thomas,124,20.7,.496,0.0,.000,.536,5.1,0.7,0.6,0.8,1.5,7.1
Charles Smith,122,33.6,.500,0.2,.273,.753,8.1,1.4,0.9,2.8,2.0,16.8
Jacque Vaughn,126,30.2,.459,2.2,.383,.708,3.0,6.4,1.3,0.1,2.8,9.6
Keith Booth,126,30.7,.456,0.8,.210,.699,7.3,2.3,1.5,0.6,3.2,14.1
Serge Zwikker,120,15.8,.501,0.0,.333,.696,5.0,0.4,0.2,1.1,0.6,7.0
Mark Sanford,82,nan,.458,3.3,.293,.658,6.6,1.5,1.2,0.8,nan,16.1
James Cotton,19,13.9,.441,0.1,.000,.634,2.7,0.4,0.6,0.3,0.9,2.9
Bubba Wells,105,31.8,.522,2.2,.405,.747,6.9,2.0,1.3,0.9,2.4,21.6
Kebu Stewart,43,34.3,.490,0.1,.200,.638,10.8,0.8,1.0,0.8,3.2,18.0
James Collins,112,32.8,.450,6.1,.372,.679,4.5,2.5,1.7,0.3,2.4,16.0
Marc Jackson,63,36.8,.477,0.2,.400,.717,9.0,1.0,0.7,0.5,2.3,15.9
Jerald Honeycutt,125,33.6,.421,5.0,.308,.672,7.0,3.4,1.9,1.3,3.8,17.7
Anthony Johnson,117,24.0,.466,1.4,.404,.725,2.6,4.4,1.2,0.2,nan,8.2
Eddie Elisma,122,24.4,.550,0.0,.400,.591,6.3,0.8,0.7,1.5,1.4,7.4
Jason Lawson,131,29.1,.586,0.0,.000,.692,6.9,1.4,0.7,2.9,2.6,11.9
Gordon Malone,53,nan,.562,0.5,.333,.546,7.6,0.9,0.9,1.1,nan,11.6
Cedric Henderson,28,26.5,.544,nan,nan,.683,7.1,0.9,1.8,1.1,2.0,15.5
God Shammgod,65,32.5,.393,2.2,.208,.676,2.0,6.6,2.0,0.1,3.0,10.3
