Name,Games Played,Minutes Per Game,FGs per game,Three point attempts,Threes per game,Free Throws per game,Rebounds per game,Assists per game,Steals per game,Blocks per game,Turnovers per game,Points per game
Kelly Olynyk,101,17.2,.594,0.7,.333,.709,4.6,1.1,0.5,0.5,1.4,8.9
Shabazz Muhammad,32,30.8,.443,3.3,.377,.711,5.2,0.8,0.7,0.1,1.6,17.9
Shane Larkin,68,31.3,.438,4.0,.375,.808,3.2,3.6,1.8,0.1,2.1,11.2
Tony Snell,104,24.8,.421,4.2,.380,.821,2.4,2.0,0.5,0.3,1.5,9.2
Gorgui Dieng,102,27.3,.545,0.0,.333,.640,7.9,1.2,1.0,2.6,1.6,8.3
Mason Plumlee,141,25.9,.574,0.1,.200,.583,7.7,1.5,0.8,1.4,2.0,9.8
Solomon Hill,139,29.0,.481,2.2,.375,.745,5.6,2.2,0.9,0.4,2.1,10.3
Tim Hardaway,124,28.8,.486,2.0,.352,.718,2.6,4.5,2.1,0.2,2.0,12.8
Reggie Bullock,46,nan,.426,0.2,.100,.522,2.0,0.4,0.6,0.1,nan,2.8
Andre Roberson,105,28.3,.516,1.4,.350,.582,10.0,1.1,1.6,1.4,1.7,9.6
Archie Goodwin,33,31.8,.440,1.9,.266,.637,4.6,2.7,1.1,0.5,3.1,14.1
Allen Crabbe,98,34.7,.446,5.6,.382,.819,5.7,2.2,0.9,0.6,1.9,15.7
Carrick Felix,94,27.9,.456,3.2,.326,.704,4.8,1.3,1.0,0.8,1.7,10.2
Isaiah Canaan,132,29.4,.450,5.5,.419,.803,2.8,2.9,1.2,0.1,2.4,15.5
Glen Rice,134,29.8,.569,2.8,.480,.797,6.4,2.0,0.8,0.3,1.8,18.2
Ray McCallum,115,36.2,.507,nan,nan,.804,2.1,2.4,1.3,0.2,1.9,18.3
Tony Mitchell,70,nan,.333,1.2,.274,.455,1.5,0.5,0.2,0.1,nan,2.4
Nate Wolters,127,33.1,.450,3.6,.342,.803,4.7,5.3,1.5,0.2,2.2,18.5
Jeff Withey,117,19.8,.568,0.0,1.000,.726,5.4,0.6,0.5,2.7,1.2,8.0
Grant Jerrett,34,17.8,.409,2.3,.405,.818,3.6,0.5,0.5,1.0,0.6,5.2
Jamaal Franklin,85,25.9,.426,3.8,.302,.780,7.0,1.9,1.0,0.6,2.6,13.7
Pierre Jackson,74,32.8,.441,5.6,.379,.808,3.3,6.5,1.6,0.0,3.5,16.7
Mike Muscala,133,28.7,.501,0.5,.313,.819,8.2,1.6,0.4,2.0,1.6,15.3
Erick Green,129,28.3,.437,3.2,.338,.804,2.6,2.5,1.2,0.2,1.4,13.5
Ryan Kelly,41,16.3,.529,0.0,.000,.474,1.9,0.4,0.2,0.3,0.6,1.8
Erik Murphy,136,18.3,.514,2.4,.435,.757,3.7,0.7,0.4,0.6,1.0,7.7
James Ennis,67,31.0,.493,4.1,.354,.788,5.4,2.4,1.7,1.0,2.5,13.2
Romero Osby,63,29.3,.509,0.6,.457,.761,7.2,1.1,0.6,0.9,1.6,14.4
Lorenzo Brown,101,32.6,.429,2.1,.305,.741,4.2,5.8,1.7,0.5,3.0,11.6
Colton Iverson,35,29.5,.596,0.0,nan,.590,9.8,1.3,0.6,0.7,2.0,14.2
Arsalan Kazemi,35,29.0,.595,0.0,.000,.675,10.0,1.4,2.0,0.7,1.5,9.4
Peyton Siva,144,26.2,.417,2.4,.291,.737,2.4,4.7,1.8,0.1,2.7,8.4
Alex Oriakhi,34,25.8,.639,0.0,.000,.746,8.4,0.4,0.6,1.6,1.4,11.2
Deshaun Thomas,113,27.0,.478,3.7,.342,.802,5.0,0.9,0.4,0.2,1.1,14.4
Anthony Davis,124,30.1,.420,3.6,.311,.728,4.4,2.3,1.6,0.3,2.0,13.3
Michael Kidd-Gilchrist,40,31.1,.491,1.3,.255,.745,7.4,1.9,1.0,0.9,2.2,11.9
Bradley Beal,37,34.2,.445,5.0,.339,.769,6.7,2.2,1.4,0.8,2.1,14.8
Dion Waiters,71,20.4,.453,2.8,.348,.753,1.9,2.0,1.5,0.2,1.1,9.7
Damian Lillard,104,32.3,.446,6.1,.390,.867,4.3,3.5,1.2,0.2,2.4,18.6
Harrison Barnes,75,29.3,.430,4.4,.349,.734,5.5,1.3,0.9,0.4,1.9,16.3
Terrence Ross,69,24.4,.453,4.6,.364,.764,4.7,1.2,0.9,0.7,1.4,12.3
Andre Drummond,34,28.4,.538,0.1,.000,.295,7.6,0.4,0.8,2.7,1.5,10.0
Austin Rivers,34,33.2,.433,4.7,.365,.658,3.4,2.1,1.0,0.0,2.3,15.5
Meyers Leonard,65,19.8,.567,0.2,.083,.729,4.7,0.7,0.3,1.1,1.4,7.7
Jeremy Lamb,75,32.1,.482,4.5,.348,.806,4.7,1.7,1.0,0.6,1.6,14.1
Kendall Marshall,73,28.8,.446,1.8,.366,.693,2.3,8.0,1.1,0.1,2.6,7.2
John Henson,109,23.8,.497,0.2,.208,.484,8.1,1.0,0.6,2.5,1.5,10.3
Maurice Harkless,32,36.1,.452,2.5,.215,.676,8.6,1.5,1.6,1.4,2.5,15.5
Royce White,34,31.5,.534,0.4,.333,.498,9.3,5.0,1.2,0.9,3.8,13.4
Tyler Zeller,117,23.0,.543,0.0,.000,.775,6.7,0.6,0.7,1.1,1.4,12.8
Terrence Jones,76,30.4,.467,1.7,.328,.638,8.0,1.5,1.2,1.8,1.8,14.0
Andrew Nicholson,123,29.9,.575,0.6,.377,.720,7.2,0.7,0.5,2.0,2.4,17.1
Jared Sullinger,74,31.0,.530,0.7,.365,.733,9.7,1.2,1.1,0.8,1.8,17.3
Fab Melo,63,17.3,.576,0.0,nan,.553,3.8,0.5,0.4,1.8,1.1,4.9
John Jenkins,98,30.6,.468,7.1,.438,.856,2.7,1.1,0.7,0.3,1.3,16.9
Jared Cunningham,33,14.8,.377,2.3,.329,.750,2.6,0.4,0.4,0.4,0.7,5.2
Tony Wroten,35,30.3,.443,1.6,.161,.583,5.0,3.7,1.9,0.4,3.8,16.0
Miles Plumlee,135,15.8,.557,0.0,1.000,.625,4.8,0.3,0.5,0.6,1.0,4.8
Arnett Moultrie,30,35.8,.549,0.6,.444,.780,10.5,1.2,0.8,0.8,2.4,16.4
Perry Jones,63,32.2,.522,0.7,.279,.678,7.4,1.2,0.7,0.7,2.0,13.7
Marquis Teague,40,32.6,.412,2.0,.325,.714,2.5,4.8,0.9,0.3,2.7,10.0
Festus Ezeli,121,17.9,.562,0.0,nan,.584,4.5,0.1,0.3,1.7,1.6,7.7
